project_id,id,address
armadillo creche,CUSD,http://cusd.cornell.edu/
armadillo creche,ENR,http://enr.construction.com/people/awards/2013/0603-global-best-projects---best-small-project-of-the-year.asp
armadillo creche,Architzer,http://architizer.com/projects/armadillo-creche/#.UUicJ6XOZFs
armadillo creche,ArchDaily,http://www.archdaily.com/376131/the-armadillo-creche-cornell-university-sustainable-design/
arch1110,Cornell University,https://www.sce.cornell.edu/ss/courses/on/courses.php?v=266
cee5072,Cornell University,http://www.cee.cornell.edu/cee/academics/graduate/civil_environmental/structural_science.cfm
cee5072,Thornton Thomasetti,http://www.thorntontomasetti.com/
xbridge,Cornell University,http://courses.cornell.edu/preview_course_nopop.php?catoid=12&coid=88837
polythread pavilion,NYT,http://www.nytimes.com/2016/02/12/arts/design/cooper-hewitt-triennial-offers-a-bold-look-at-beauty.html?_r=0
polythread pavilion,designboom,http://www.designboom.com/design/jenny-sabin-cooper-hewitt-design-triennial-beauty-polythread-knitted-textile-pavilion-03-02-2016/
polythread pavilion,Cornell AAP,https://aap.cornell.edu/news-events/fiber-pavilion-designed-jenny-e-sabin-featured-smithsonian-design-triennial
